723.0000,270.0000,298.0000,305.0000
772.0000,268.0000,285.0000,311.0000
796.0000,268.0000,285.0000,311.0000
857.0000,264.0000,261.0000,302.0000
889.0000,264.0000,234.0000,294.0000
887.0000,218.0000,244.0000,330.0000
887.0000,233.0000,238.0000,320.0000
887.0000,248.0000,233.0000,311.0000
885.0000,238.0000,233.0000,320.0000
872.0000,238.0000,233.0000,320.0000
870.0000,253.0000,233.0000,320.0000
882.0000,274.0000,208.0000,326.0000
867.0000,287.0000,208.0000,326.0000
855.0000,317.0000,197.0000,313.0000
829.0000,318.0000,197.0000,315.0000
790.0000,331.0000,197.0000,315.0000
766.0000,341.0000,197.0000,303.0000
734.0000,344.0000,180.0000,300.0000
717.0000,344.0000,180.0000,290.0000
682.0000,328.0000,188.0000,298.0000
652.0000,324.0000,208.0000,300.0000
619.0000,326.0000,208.0000,311.0000
594.0000,326.0000,216.0000,337.0000
579.0000,330.0000,216.0000,337.0000
559.0000,322.0000,214.0000,348.0000
535.0000,317.0000,227.0000,361.0000
509.0000,317.0000,255.0000,367.0000
501.0000,305.0000,268.0000,386.0000
497.0000,311.0000,272.0000,406.0000
479.0000,311.0000,296.0000,406.0000
445.0000,320.0000,344.0000,397.0000
423.0000,320.0000,412.0000,397.0000
402.0000,320.0000,527.0000,397.0000
380.0000,300.0000,594.0000,417.0000
320.0000,315.0000,654.0000,402.0000
287.0000,315.0000,661.0000,402.0000
270.0000,281.0000,661.0000,438.0000
255.0000,272.0000,661.0000,447.0000
238.0000,262.0000,615.0000,449.0000
238.0000,262.0000,592.0000,419.0000
244.0000,251.0000,572.0000,386.0000
259.0000,244.0000,559.0000,356.0000
268.0000,244.0000,509.0000,315.0000
277.0000,249.0000,481.0000,296.0000
294.0000,249.0000,507.0000,287.0000
300.0000,246.0000,507.0000,300.0000
290.0000,266.0000,509.0000,274.0000
300.0000,274.0000,473.0000,287.0000
300.0000,274.0000,456.0000,287.0000
285.0000,262.0000,456.0000,302.0000
270.0000,255.0000,456.0000,302.0000
270.0000,248.0000,447.0000,298.0000
253.0000,238.0000,453.0000,281.0000
248.0000,234.0000,460.0000,279.0000
261.0000,234.0000,471.0000,283.0000
283.0000,238.0000,475.0000,283.0000
292.0000,221.0000,492.0000,315.0000
292.0000,221.0000,503.0000,315.0000
296.0000,225.0000,514.0000,307.0000
281.0000,234.0000,522.0000,307.0000
285.0000,238.0000,537.0000,307.0000
294.0000,255.0000,537.0000,300.0000
296.0000,259.0000,544.0000,315.0000
294.0000,272.0000,553.0000,311.0000
292.0000,283.0000,553.0000,324.0000
292.0000,285.0000,553.0000,335.0000
272.0000,298.0000,557.0000,339.0000
248.0000,313.0000,557.0000,331.0000
236.0000,344.0000,538.0000,339.0000
248.0000,359.0000,523.0000,339.0000
